SMK Order,Item Name,SMK ID or Item ID,Quantity,Overrun%,Qty with OR%,Cylinder,Around,Repeat,Across,Width,Length,Bottom Gusset (BM),Lip,Zip Header,Web Width (W.W.),lbs/m,Net (ft),Net (lbs),Net (kg),Incl OR (ft),Incl OR (lbs),Incl OR (kg),Film grade,Mil
4773,B Organic 12oz Romaine Hearts,15304,250000,0.22,305000,30.5,3,10.16666667,2,9.75,13.25,0,0,1,28.5,15.43635334,105902.7778,3859.088336,1750.470986,129201.3889,4708.08777,2135.574603,"L/LDPE Bag Film-Zip, clear",1.6
4775,Aldi's 2lb/0.91kg Honeycrisp (Chelan),15306,100000,0.22,122000,29.75,3,9.916666667,1,9.75,14.5,0,1.75,0,30.75,11.9810292,82638.88889,1198.10292,543.4559195,100819.4444,1461.685563,663.0162218,"L/LDPE Bag Film - General, clear",1.18
4776,Aldi's 3lb/1.36kg Fuji (Chelan),15307,80000,0.22,97600,21.5,2,10.75,1,10.5,16.5,0,1.75,0,34.75,14.67731329,71666.66667,1174.185063,532.6068507,87433.33333,1432.505777,649.7803579,"L/LDPE Bag Film - General, clear",1.18
4777,Aldi's 3lb/1.36kg Golden (Chelan),15308,80000,0.22,97600,21.5,2,10.75,1,10.5,16.5,0,1.75,0,34.75,14.67731329,71666.66667,1174.185063,532.6068507,87433.33333,1432.505777,649.7803579,"L/LDPE Bag Film - General, clear",1.18
4778,Ready Set Serve Parsley 1lb (non-zip),15262,100000,0.2,120000,24.25,2,12.125,1,12,16,0,0,0,32,18.73272733,101041.6667,1873.272733,849.7109377,121250,2247.92728,1019.653125,L/LDPE Bag Film - General,1.45
4779,Maristone Greenhouse Produce (small),14764,50000,0.3,65000,20.25,2,10.125,1,10,13,0,0,0.75,27.5,15.76078813,42187.5,788.0394067,357.45233,54843.75,1024.451229,464.688029,"L/LDPE Bag Film - Zip, clear",1.7
4787,Walmart 5lb Red Del (Oneonta-Starr),15121,200000,0.2,240000,34.5,3,11.5,1,11,20,0,1.75,0,41.75,20.78255586,191666.6667,4156.511171,1885.381099,230000,4987.813405,2262.457319,"L/LDPE Bag Film - General, clear",1.3
4790,Superfresh Apples 3lb (Mexico Export),15289,560000,0.2,672000,32,3,10.66666667,1,10.5,16.375,0,2,0,34.75,14.56353567,497777.7778,8155.579973,3699.346808,597333.3333,9786.695968,4439.21617,"L/LDPE Bag Film - General, clear",1.18
4805,Lojo Cabbage USA,15310,150000,0.2,180000,30.25,2,15.125,2,14.75,8.5,6,1.5,0,24.5,11.10465987,94531.25,1665.698981,755.5561014,113437.5,1998.838777,906.6673217,"Bag Film - LC, clear",0.9
4806,Pacific Cauliflower,15213,1200000,0.18,1416000,30.25,2,15.125,2,14.75,8.5,6,1.5,0,24.5,11.10465987,756250,13325.59185,6044.448811,892375,15724.19838,7132.449597,"L/LDPE Bag Film - LC, clear",0.9
